,Scene_Names,Scene_action,Scene_Characters,Scene_Dialogue,Contents
18,INT. ARCADE PRIZE COUNTER  LATER  PAST 15,"A beaming WADE bellies up to the prize counter and lays amassive armful of pink TICKETS on top. Page 29119WADE  The limited edition Voltron Defender of  the Universe ring, por favor.","['WADE', 'VANESSA', 'WADE', 'VANESSA', 'WADE', 'WADE', 'VANESSA', 'WADE', 'VANESSA']","['Then I guess the tiregrade rubberVoltron keychain. VANESSA places a measly TEN tickets of her own next to them.', 'And the... pencil eraser. The weary TEEN behind the counter hands Wade the lowrentVOLTRON KEYCHAIN, and Vanessa the eraser.', 'M willady?', 'Unfortunately, my anusloving friend, your fortyeight minutes are up. Deadpool Final Shooting Script 111615 29. 15 ', 'Arus. And you are more evil than evilKing Zarkon himself. Page 30119Wade rubs his keychain wistfully, then offers it up.', 'How many more minutes for this? FYI. Five mini lionbots come togetherto make up the superbot.', 'Five mini lionbots?  Three minutes.', 'Thats all I willl need', 'Cuddle? Vanessa smiles and takes Wades arm. They walk out of theARCADE affectionately... to the S OF TIRELESS, ATHLETIC SEX. 16 EXT.']"," A beaming WADE bellies up to the prize counter and lays amassive armful of pink TICKETS on top. Page 29119WADE  The limited edition Voltron Defender of  the Universe ring, por favor. TEEN  You are roughly three hundred thousandtickets short. Its nickelsilverplated. WADE Then I guess the tiregrade rubberVoltron keychain. VANESSA places a measly TEN tickets of her own next to them. VANESSA  And the... pencil eraser. The weary TEEN behind the counter hands Wade the lowrentVOLTRON KEYCHAIN, and Vanessa the eraser. TEEN  reads keychain package copy, bows You are now the sworn protector of thegentle people of the planet Arus... re spin And you... you can... erase stuff... written in pencil. Wade extends his arm chivalrously WADE  M willady? VANESSA  Unfortunately, my anusloving friend, your fortyeight minutes are up. Deadpool Final Shooting Script 111615 29. 15  WADE  Arus. And you are more evil than evilKing Zarkon himself. Page 30119Wade rubs his keychain wistfully, then offers it up. WADE  How many more minutes for this? FYI. Five mini lionbots come togetherto make up the superbot. VANESSA  Five mini lionbots?  Three minutes. WADE  Thats all I willl need ALT WADE  What do we do with the remaining twominutes thirty seven seconds? VANESSA  Cuddle? Vanessa smiles and takes Wades arm. They walk out of theARCADE affectionately... to the S OF TIRELESS, ATHLETIC SEX. 16 EXT."
19,INT. WADE’S APARTMENT  NIGHT  PAST 16,,"['VANESSA', 'WADE']","['How long can you keep this up? DUCT TAPE fails to cover a big multifissured CRACK in theWINDOW of Wades CRAPPY APARTMENT. Inside, WADE has VANESSA  up against the wall decorated with CHRISTMAS LIGHTS that haveoverstayed their welcome and a CALENDAR. They are going atit like RABBITS.', 'All year? Deadpool Final Shooting Script 111615 30. 16  Dolly Partons HERE YOU COME AGAIN kicks in, and we...  IN Page 3111917 ']"," VANESSA  How long can you keep this up? DUCT TAPE fails to cover a big multifissured CRACK in theWINDOW of Wades CRAPPY APARTMENT. Inside, WADE has VANESSA  up against the wall decorated with CHRISTMAS LIGHTS that haveoverstayed their welcome and a CALENDAR. They are going atit like RABBITS. WADE  All year? Deadpool Final Shooting Script 111615 30. 16  Dolly Partons HERE YOU COME AGAIN kicks in, and we...  IN Page 3111917 "
20,INT. WADE’S APARTMENT  DAY 17,"A MONTAGE of images Fun, irreverent SEX around the CALENDAR  between WADE and VANESSA, identified by various holidays. VALENTINES DAY SEX. WADE falls back onto a bed covered in  rose petals with VANESSA on top of him. She has drawn a  heart on his chest in red lipstick. They go at it hard... then pause for a romantic look and kiss.","['VANESSA', 'WADE', 'VANESSA', 'VANESSA', 'WADE', 'VANESSA', 'WADE', 'VANESSA', 'WADE', 'VANESSA']","['Happy Valentines Day... Then IMMEDIATELY go back to hard pounding. A medium shot of the top half of VANESSA. She is on hands  and knees, rocking back and forth. WADE leans into frame  from behind.', 'Happy Chinese New Years...', 'Year of the Dog. They go at it even harder. The same exact lockedoff medium shot, only WADE is now onhands and knees. His expression betrays great stress. VANESSA leans into frame from behind.', 'Relax... Happy International Womens Day... Wade girds himself, then lets out a surprised, WHIMPERY YELPas some pioneering object journeys into his virgin lands. WADE in bed, legs wrapped around VANESSAs neck, being orallypleasured. Deadpool Final Shooting Script 111615 31. 17 ', 'Happy Fourth of July Page 32119We see FIREWORKS through the skylight above. WADE sitting in an armchair, fully dressed, reading glasseson, purusing a book. VANESSA is reading in a chair opposite, also wearing reading glasses.', 'Happy Yom Kippur...', 'Happy Halloween...', 'Oo... ow...', 'Sorry. Happy Halloween... Wade goes back to work. WADE and VANESSA banging it out one last time, missionarystyle.', 'Page 33119Happy Thanksgiving.']"," A MONTAGE of images Fun, irreverent SEX around the CALENDAR  between WADE and VANESSA, identified by various holidays. VALENTINES DAY SEX. WADE falls back onto a bed covered in  rose petals with VANESSA on top of him. She has drawn a  heart on his chest in red lipstick. They go at it hard... then pause for a romantic look and kiss. VANESSA  Happy Valentines Day... Then IMMEDIATELY go back to hard pounding. A medium shot of the top half of VANESSA. She is on hands  and knees, rocking back and forth. WADE leans into frame  from behind. WADE  Happy Chinese New Years... VANESSA  Year of the Dog. They go at it even harder. The same exact lockedoff medium shot, only WADE is now onhands and knees. His expression betrays great stress. VANESSA leans into frame from behind. VANESSA  Relax... Happy International Womens Day... Wade girds himself, then lets out a surprised, WHIMPERY YELPas some pioneering object journeys into his virgin lands. WADE in bed, legs wrapped around VANESSAs neck, being orallypleasured. Deadpool Final Shooting Script 111615 31. 17  WADE  Happy Fourth of July Page 32119We see FIREWORKS through the skylight above. WADE sitting in an armchair, fully dressed, reading glasseson, purusing a book. VANESSA is reading in a chair opposite, also wearing reading glasses. VANESSA  Happy Yom Kippur... ALT Happy Cesar Chavez Day... ALT Happy Lent... ALT Happy Lyme Disease Awareness Day... ALT Happy Wednesday... VANESSA in bed where Wade last was. Now her legs are wrappedaround HIS neck, and hes pleasuring her. WADE  Happy Halloween... VANESSA  Oo... ow... WADE  Sorry. Happy Halloween... Wade goes back to work. WADE and VANESSA banging it out one last time, missionarystyle. VANESSA  Page 33119Happy Thanksgiving. ALT Happy Wednesday. Deadpool Final Shooting Script 111615 32. 17  Cut WIDE to reveal that they are on top of the KITCHEN TABLEduring THANKSGIVING DINNER. Wine spills, cranberry saucetopples, mashed potatoes launch. ALT BREAKFAST FOOD  INSTEAD. Nothing takes away from the joy of the moment. 18 "
21,INT. WADE’S APARTMENT  NIGHT  PAST 18,A CHRISTMAS WREATH hangs on Wades wall.,"['WADE', 'WADE', 'VANESSA', 'WADE', 'VANESSA', 'VANESSA', 'WADE', 'VANESSA', 'WADE', 'VANESSA', 'VANESSA', 'VANESSA', 'WADE', 'WADE', 'VANESSA', 'WADE', 'VANESSA', 'WADE', 'VANESSA', 'WADE', 'VANESSA', 'WADE', 'VANESSA', 'WADE', 'WADE', 'WADE', 'WADE', 'WADE', 'WADE', 'DEADPOOL', 'DEADPOOL']","['If your left leg is Thanksgiving, and your right leg is Christmas... WADE strikes a pose, HANDS on HIPS, wearing an AWFUL, AWFULCHRISTMAS SWEATER. And NO PANTS. VANESSA sits against the beds HEADBOARD, SHEET pulled overher, up to her chin. She quickly lowers the sheet. Revealing an APPALLING CHRISTMAS SWEATER of her own.', 'can I visit you between the holidays?', 'Yknow, reds your color. Brings out the bloodshot in your eyes. Christmas gift Catch Vanessa tosses something to Wade. It lands in his hands.', 'Holy fucking shit. Its the nickelsilverplated Voltron RING, all three hundred  thousand tickets worth.', 'Limited edition. I had to give the kid behind the counter a rub and tug. I am kidding. I am not kidding. I am kidding. It was nearly five full months of Skeeball. Page 34119WADE  Yknow, I have been doing some thinking...', 'Really. Deadpool Final Shooting Script 111615 33.  18 ', 'about why we are so good together.', 'Whys that?', 'Your crazy matches my crazy. We are like  two jigsaw pieces... weird curvy edges... but fit us together, you can see thepicture on top. Wade plants a kiss on Vanessa. She sits up on her knees.', 'Hey, I have been meaning to ask you, onlycause you havent gotten around toasking me Wade, will you VANESSA WADE  Stick it in my? Marry me?', 'Uhh... jinx? Wade reaches back and pulls out an ENGAGEMENTRINGLIKE BOX. Vanessa can barely contain her excitement.', 'You are not wearing pants. Where exactlywere you hiding that? A vulnerable Wade hands her the box and stands there with the  look of... Open it. Open it', 'They say one months salary. Vanessa opens the box... to reveal a CANDY RING.', 'Page 35119Slow month. I have been waiting for thisday like Boss Hogg waits to get to thecrazy cheesy crust...', 'You mean?', 'I do. Deadpool Final Shooting Script 111615 34. 18 ', 'Thats my line. I love you, Wade Wilson.', 'Thought you charged extra for that.', 'I did. At my old job.', 'So thats a? Vanessa stares. Swallows. Pulls him back into bed and  WHISPERS ONE SILENT WORD into his ear . Wade jumps upand DANCES around the room all goofy, POP, LOCK, & ROBOT.', 'Easy. I can take it back. Wade dives back into bed, SPOONS with Vanessa, wrapping herin his ARMS, touching his cheek to hers.', 'What if I never let go?', 'Just rode a bitchs back, like Yoda on  Luke?', 'Star Wars jokes? Page 36119VANESSA  Empire.', 'Its like I made you in a computer. Wade swoons, reaches, grabs a POLAROID CAMERA off his nightstand,  and holds it at arms length.', 'Cheese, say The flash POPS. For this one moment, his life is...', 'Perfect. Wade hands Vanessa the photo. Then... Deadpool Final Shooting Script 111615 35. 18 ', 'Wee break. bounces up to go to the BATHROOM. Vanessa gazes at thephoto, which is already FADING IN. Wade notices.', 'Shake it like aUh. You get it.', 'Heres the thing. Life is an endless  series of trainwrecks with only brief, commerciallike breaks of happiness. This had been the ultimate commercial  break. Which meant it was time to  return... Wade peels off his Christmas sweater... and STEPS CONFIDENTLYBACK TOWARD THE BED. But before he gets there...', 'to our regularly scheduled program. HE PASSES OUT, FACEPLANTING ONTO THE FLOOR. 19 ']"," A CHRISTMAS WREATH hangs on Wades wall. WADE  If your left leg is Thanksgiving, and your right leg is Christmas... WADE strikes a pose, HANDS on HIPS, wearing an AWFUL, AWFULCHRISTMAS SWEATER. And NO PANTS. VANESSA sits against the beds HEADBOARD, SHEET pulled overher, up to her chin. She quickly lowers the sheet. Revealing an APPALLING CHRISTMAS SWEATER of her own. WADE  can I visit you between the holidays? VANESSA Yknow, reds your color. Brings out the bloodshot in your eyes. Christmas gift Catch Vanessa tosses something to Wade. It lands in his hands. WADE  Holy fucking shit. Its the nickelsilverplated Voltron RING, all three hundred  thousand tickets worth. VANESSA Limited edition. I had to give the kid behind the counter a rub and tug. I am kidding. I am not kidding. I am kidding. It was nearly five full months of Skeeball. Page 34119WADE  Yknow, I have been doing some thinking... VANESSA  Really. Deadpool Final Shooting Script 111615 33.  18  WADE  about why we are so good together. VANESSA  Whys that? WADE  Your crazy matches my crazy. We are like  two jigsaw pieces... weird curvy edges... but fit us together, you can see thepicture on top. Wade plants a kiss on Vanessa. She sits up on her knees. VANESSA  Hey, I have been meaning to ask you, onlycause you havent gotten around toasking me Wade, will you VANESSA WADE  Stick it in my? Marry me? VANESSA  Uhh... jinx? Wade reaches back and pulls out an ENGAGEMENTRINGLIKE BOX. Vanessa can barely contain her excitement. VANESSA  You are not wearing pants. Where exactlywere you hiding that? A vulnerable Wade hands her the box and stands there with the  look of... Open it. Open it WADE  They say one months salary. Vanessa opens the box... to reveal a CANDY RING. WADE  Page 35119Slow month. I have been waiting for thisday like Boss Hogg waits to get to thecrazy cheesy crust... VANESSA  You mean? WADE  I do. Deadpool Final Shooting Script 111615 34. 18  VANESSA  Thats my line. I love you, Wade Wilson. WADE  Thought you charged extra for that. VANESSA  I did. At my old job. WADE  So thats a? Vanessa stares. Swallows. Pulls him back into bed and  WHISPERS ONE SILENT WORD into his ear . Wade jumps upand DANCES around the room all goofy, POP, LOCK, & ROBOT. VANESSA  Easy. I can take it back. Wade dives back into bed, SPOONS with Vanessa, wrapping herin his ARMS, touching his cheek to hers. WADE  What if I never let go? VANESSA  Just rode a bitchs back, like Yoda on  Luke? WADE  Star Wars jokes? Page 36119VANESSA  Empire. WADE  Its like I made you in a computer. Wade swoons, reaches, grabs a POLAROID CAMERA off his nightstand,  and holds it at arms length. WADE  Cheese, say The flash POPS. For this one moment, his life is... WADE  Perfect. Wade hands Vanessa the photo. Then... Deadpool Final Shooting Script 111615 35. 18  WADE  Wee break. bounces up to go to the BATHROOM. Vanessa gazes at thephoto, which is already FADING IN. Wade notices. WADE  Shake it like aUh. You get it. DEADPOOL  Heres the thing. Life is an endless  series of trainwrecks with only brief, commerciallike breaks of happiness. This had been the ultimate commercial  break. Which meant it was time to  return... Wade peels off his Christmas sweater... and STEPS CONFIDENTLYBACK TOWARD THE BED. But before he gets there... DEADPOOL  to our regularly scheduled program. HE PASSES OUT, FACEPLANTING ONTO THE FLOOR. 19 "
22,INT. ONCOLOGY WARD  DAY  PAST 19,"WADE is sitting in a doctors office, VANESSA by his side, opposite a solemn ONCOLOGIST. Every image suggests BAD NEWS A COMPLEX looking MRI IMAGE of the CIRCULATORY SYSTEM on aBACKLIT VIEWING TABLE. SWEAT STAINS under Wades arms.  Vanessa GRIPPING his hand. The LOOK on the DOCTORs FACE. Page 37119WADE  You are clowning. You are not clowning? I  sense clowns.","['DOCTOR', 'VANESSA', 'DEADPOOL', 'DOCTOR', 'DEADPOOL', 'DOCTOR', 'DEADPOOL', 'DOCTOR']","['People react to news of latestage cancerdifferently. Wade and Vanessa turn and share a devastated but loving look.', 'to doctor, springs into action So what do we do? Surely theressomething... we can... do. I mean, myuncle, he was diagnosed with thyroidcancer, and there was this new  experimental drug that Deadpool Final Shooting Script 111615 36. 19  The VOLUME of Vanessas voice FADES until we can SEE her  talking but no longer hear the words', 'See, people do react differently. Vanessas already working on Plan A. B.  All the way to Z. Me? I am memorizingthe details of her face. Like its the  first time I am seeing it. Or the last.', 'Mr. Wilson?', ""Believe it or not, this is only the ninthshittiest thing that's ever happened to  me."", 'Mr. Wilson?', 'Stick around. Number 6 is coming right  up.', 'Take your time to process this. 20 ']"," WADE is sitting in a doctors office, VANESSA by his side, opposite a solemn ONCOLOGIST. Every image suggests BAD NEWS A COMPLEX looking MRI IMAGE of the CIRCULATORY SYSTEM on aBACKLIT VIEWING TABLE. SWEAT STAINS under Wades arms.  Vanessa GRIPPING his hand. The LOOK on the DOCTORs FACE. Page 37119WADE  You are clowning. You are not clowning? I  sense clowns. DOCTOR  People react to news of latestage cancerdifferently. Wade and Vanessa turn and share a devastated but loving look. VANESSA  to doctor, springs into action So what do we do? Surely theressomething... we can... do. I mean, myuncle, he was diagnosed with thyroidcancer, and there was this new  experimental drug that Deadpool Final Shooting Script 111615 36. 19  The VOLUME of Vanessas voice FADES until we can SEE her  talking but no longer hear the words DEADPOOL  See, people do react differently. Vanessas already working on Plan A. B.  All the way to Z. Me? I am memorizingthe details of her face. Like its the  first time I am seeing it. Or the last. DOCTOR  Mr. Wilson? DEADPOOL  Believe it or not, this is only the ninthshittiest thing that's ever happened to  me. DOCTOR  Mr. Wilson? DEADPOOL  Stick around. Number 6 is coming right  up. DOCTOR  Take your time to process this. 20 "
23,EXT. FREEWAY  DAY 20,DEADPOOL HAS AJAX PINNED TO THE FREEWAY RAIL.,"['DEADPOOL', 'DEADPOOL', 'DEADPOOL']","['You know how many people I have killed tofind you? Page 38119AJAX  Actually, I do.', 'So you are aware I have been waiting a long,  long time for this. And now I am finally  gonna...', 'Dad? COLOSSUS GRABS Deadpools WRIST, CHUCKS him THROUGH the AIR, ASS OVER TEAKETTLE. 21 ']"," DEADPOOL HAS AJAX PINNED TO THE FREEWAY RAIL. DEADPOOL  You know how many people I have killed tofind you? Page 38119AJAX  Actually, I do. DEADPOOL  So you are aware I have been waiting a long,  long time for this. And now I am finally  gonna... ALT So you are aware of the category 5 fuck storm thats coming. ALT Then you know whats coming. I am about  to do to you what Sugar Ray did to themidnineties. A massive SHADOW passes over AJAX and DEADPOOL, accompaniedby LOUD METALLIC FOOTSTEPS. Ajax looks up, a bit awed. Deadpool Final Shooting Script 111615 37. 20  Deadpool senses something, reaches back with one hand, feels... what turns out to be Colossuss METALLIC CROTCH. DEADPOOL  Dad? COLOSSUS GRABS Deadpools WRIST, CHUCKS him THROUGH the AIR, ASS OVER TEAKETTLE. 21 "
24,INT. WADE’S APARTMENT  NIGHT  LATER  PAST 21,A  of a Deadpool ACTION FIGURE from XMen Origins. Mouth sewn shut. Blades implanted into wrists. In the exact same POSE we just saw the real Deadpool. Sitting in a nightstand DRAWER in Wades apartment.,"['WADE', 'VANESSA', 'WADE', 'WADE', 'VANESSA', 'WADE', 'VANESSA', 'WADE', 'VANESSA', 'WADE', 'VANESSA', 'WADE', 'VANESSA', 'VANESSA', 'WADE', 'VANESSA', 'VANESSA', 'WADE', 'VANESSA', 'VANESSA', 'WADE']","['This is my most prized possession. Wade looks like hes reaching into the drawer for the actionfigure, but instead, reaches just UNDER it to grasp WhamsMake it Big album on Vinyl. He pulls out the album.', 'Wham?', 'Page 39119Wham Make it Big was the album George and Andy earned their exclamation point. Wade places the album carefully into one of two OPENSUITCASES on the floor next to him. He is currently goingthrough his possessions, TOSSING OUT the crap and placing thegood stuff into the suitcases. Wade pulls out the action figure.', 'But this. A little piece of me died the day this came out... Wade DUNKS the action figure in the trash can. VANESSA  stands opposite, arms crossed, FUMING.', 'So I am sposed to just... smile and wave you out the door? Deadpool Final Shooting Script 111615 38. 21 ', 'Think of it as a spring cleaning. Onlyif spring was death. pulls out BERNADETTE PETERS', 'Bernadettes not going anywhere. Cause you are not going anywhere.', 'Right The tumors are only in my liver, lungs, prostate, and brain. All the  things you can live without.', 'You know what I mean. You belong here athome. Surrounded by your Voltron... Page 40119andyour Bernadette... and your me.', 'Babe, we have been through this Cancers  a real shitshow. A YakovSmirnoff openingfortheSpinDoctorsattheIowaState Fair shitshow. And under no  circumstances will I take you to thatshow. I want you to remember me me.', 'Well, I want to remember us us.  We we?', 'I swear, I willl find you in the next life. And boombox Careless Whisper underyour window. Wham', 'Are you gonna keep saying it like that? Look, I get this impulse. I do. Deadpool Final Shooting Script 111615 39. 21 ', 'Before I met you, I used to fantasizeabout dying alone in the woods, tornapart by wolves.', 'Super fucking badass.', 'But that was then, and this is now. Walk  out that door. I dare you. I will ride  you out. And I wont let go. Yoda on  Luke. Vanessa embraces Wade. Tight. Wont let go. A TEAR  trickles down Vanessas CHEEK.', 'If you are willing to fight. There are  still options. We willl find them.  Page 41119Together.', 'I just realized I win My lifesofficially more fuckedup than yours.', 'No ones boomboxing shit. Vanessa interlaces her pinkie with Wades. Smiles.', 'What do we we have to lose?', 'Nothing. Everything. Vanessa leans in, and the two start to KISS. 22 ']"," A  of a Deadpool ACTION FIGURE from XMen Origins. Mouth sewn shut. Blades implanted into wrists. In the exact same POSE we just saw the real Deadpool. Sitting in a nightstand DRAWER in Wades apartment. WADE  This is my most prized possession. Wade looks like hes reaching into the drawer for the actionfigure, but instead, reaches just UNDER it to grasp WhamsMake it Big album on Vinyl. He pulls out the album. VANESSA  Wham? WADE  Page 39119Wham Make it Big was the album George and Andy earned their exclamation point. Wade places the album carefully into one of two OPENSUITCASES on the floor next to him. He is currently goingthrough his possessions, TOSSING OUT the crap and placing thegood stuff into the suitcases. Wade pulls out the action figure. WADE  But this. A little piece of me died the day this came out... Wade DUNKS the action figure in the trash can. VANESSA  stands opposite, arms crossed, FUMING. VANESSA So I am sposed to just... smile and wave you out the door? Deadpool Final Shooting Script 111615 38. 21  WADE Think of it as a spring cleaning. Onlyif spring was death. pulls out BERNADETTE PETERS CHANGE PURSE If I had a nickel for every time Ispanked it to Bernadette Peters. Looks like I do. Wade TOSSES the purse toward one of the suitcases. Vanessas  hand stabs out and GRABS it. VANESSA  Bernadettes not going anywhere. Cause you are not going anywhere. WADE  Right The tumors are only in my liver, lungs, prostate, and brain. All the  things you can live without. VANESSA  You know what I mean. You belong here athome. Surrounded by your Voltron... Page 40119andyour Bernadette... and your me. WADE  Babe, we have been through this Cancers  a real shitshow. A YakovSmirnoff openingfortheSpinDoctorsattheIowaState Fair shitshow. And under no  circumstances will I take you to thatshow. I want you to remember me me. VANESSA  Well, I want to remember us us.  We we? WADE  I swear, I willl find you in the next life. And boombox Careless Whisper underyour window. Wham VANESSA  Are you gonna keep saying it like that? Look, I get this impulse. I do. Deadpool Final Shooting Script 111615 39. 21  VANESSA  Before I met you, I used to fantasizeabout dying alone in the woods, tornapart by wolves. WADE  Super fucking badass. VANESSA  But that was then, and this is now. Walk  out that door. I dare you. I will ride  you out. And I wont let go. Yoda on  Luke. Vanessa embraces Wade. Tight. Wont let go. A TEAR  trickles down Vanessas CHEEK. VANESSA  If you are willing to fight. There are  still options. We willl find them.  Page 41119Together. WADE I just realized I win My lifesofficially more fuckedup than yours. VANESSA  No ones boomboxing shit. Vanessa interlaces her pinkie with Wades. Smiles. VANESSA  What do we we have to lose? WADE  Nothing. Everything. Vanessa leans in, and the two start to KISS. 22 "
25,INT. BEDROOM  NIGHT  PAST 22,"VANESSA, horizontal, limbs akimbo, ASLEEP in bed. She stirs,  feels next to her for Wade. Hes NOT THERE. REVEAL WADE standing at the bedroom window. His P.O.V. of  the moon makes it look FRACTURED by the cracked glass. RACK FOCUS to Vanessas REFLECTION. She, too, looks  fractured. Wades eyes well with TEARS at the sight of her. Cancer will steal the one thing that ever mattered. Vanessas cracked reflection suddenly RAISES its HEAD. Deadpool Final Shooting Script 111615 40. 22","['WADE', 'WADE']","['Sorry. Liam Neeson nightmare. I  kidnapped his daughter, and he justwasnt having it. Wade slides back into bed. ', 'They have made three of those movies. At  some point you wonder if hes just a bad  parent.  Wade lies on his back. Vanessa nestles her head lovinglyagainst his chest. He takes a vulnerable look at her, then  stares at the ceiling, LOST. RS22 ']"," VANESSA, horizontal, limbs akimbo, ASLEEP in bed. She stirs,  feels next to her for Wade. Hes NOT THERE. REVEAL WADE standing at the bedroom window. His P.O.V. of  the moon makes it look FRACTURED by the cracked glass. RACK FOCUS to Vanessas REFLECTION. She, too, looks  fractured. Wades eyes well with TEARS at the sight of her. Cancer will steal the one thing that ever mattered. Vanessas cracked reflection suddenly RAISES its HEAD. Deadpool Final Shooting Script 111615 40. 22  WADE  Sorry. Liam Neeson nightmare. I  kidnapped his daughter, and he justwasnt having it. Wade slides back into bed.  WADE  They have made three of those movies. At  some point you wonder if hes just a bad  parent.  Wade lies on his back. Vanessa nestles her head lovinglyagainst his chest. He takes a vulnerable look at her, then  stares at the ceiling, LOST. RS22 "
26,INT. APARTMENT  NIGHT RS22 ,"Wade slips quietly out of bed...  slips on a hoodie and a backpack...  opens the door... takes one last longing look at Page 42119Vanessa...  and slips into the hallway, closing the door behind him.  Vanessa is left to feel for Wade in the dark. A22",,," Wade slips quietly out of bed...  slips on a hoodie and a backpack...  opens the door... takes one last longing look at Page 42119Vanessa...  and slips into the hallway, closing the door behind him.  Vanessa is left to feel for Wade in the dark. A22 "
27,EXT. STREET  NIGHT A22 ,"WADE walks down the street into the night.  He pulls a crumpled card from his jacket pocket the black card with the recruiters number.  Still walking, Wade pulls out a cellphone and dials.  23",,," WADE walks down the street into the night.  He pulls a crumpled card from his jacket pocket the black card with the recruiters number.  Still walking, Wade pulls out a cellphone and dials.  23 "
28,INT. SISTER MARGARET’S  NIGHT  PAST 23,"Just another night at SISTER MARGARETS WAYWARD SCHOOL FORGIRLS. Regular crowd has shuffled in. Tonight, a bit thin.  WADE is bellied up to the bar, disheveled, unkempt, and distraught. WEASEL leans in","['WEASEL', 'WADE', 'WEASEL', 'WADE', 'WADE', 'WEASEL', 'WEASEL', 'WEASEL', 'WEASEL']","['Jesus. Someone needs a blowjob and ashower. Though courtesy calls for thelatter first. Deadpool Final Shooting Script 111615 41. 23 ', 'Three shots of Patron Silver, Weez. And  a cure to terminal cancer.', 'Fresh out of Patron. Wheatgrass?', 'You are starting to sound like Vanessa... With SHAKY HANDS, Wade empties his POCKETS, placing CRUMPLEDBROCHURES on the bar.', 'She sent away for all these colorfulclinic brochures. I hear Chechnyas nicethis time of... never. Then theres  China... Central Mexico... Know how theysay Cancer in Spanish? El Cncer. Wade pulls out one last thing from his pockets A POLAROID  of HIMSELF and VANESSA. He stares. Weasel notices.', 'This belongs on the wall. I want to  Page 43119remember you when you looked... alive. Wade scrapes up a smile as Weasel tapes the picture to theBIG BAR MIRROR. Weasel pours a second wheatgrass shot. Clinks Wades glass. They throw them back. WINCE.', 'Almost forgot... Weasel slides Wade a distinctive black BUSINESS CARD across  the bartop.', 'Guy came in asking for you. Real Grim  Reaper type. Wades gaze follows Weasels gesture across the barroom, where an ominous MAN in a  SUIT sits ALONE at a table.', 'I dont know? May further the plot? Deadpool Final Shooting Script 111615 42. 23A ']"," Just another night at SISTER MARGARETS WAYWARD SCHOOL FORGIRLS. Regular crowd has shuffled in. Tonight, a bit thin.  WADE is bellied up to the bar, disheveled, unkempt, and distraught. WEASEL leans in  WEASEL  Jesus. Someone needs a blowjob and ashower. Though courtesy calls for thelatter first. Deadpool Final Shooting Script 111615 41. 23  WADE  Three shots of Patron Silver, Weez. And  a cure to terminal cancer. WEASEL  Fresh out of Patron. Wheatgrass? WADE  You are starting to sound like Vanessa... With SHAKY HANDS, Wade empties his POCKETS, placing CRUMPLEDBROCHURES on the bar. WADE  She sent away for all these colorfulclinic brochures. I hear Chechnyas nicethis time of... never. Then theres  China... Central Mexico... Know how theysay Cancer in Spanish? El Cncer. Wade pulls out one last thing from his pockets A POLAROID  of HIMSELF and VANESSA. He stares. Weasel notices. WEASEL  This belongs on the wall. I want to  Page 43119remember you when you looked... alive. Wade scrapes up a smile as Weasel tapes the picture to theBIG BAR MIRROR. Weasel pours a second wheatgrass shot. Clinks Wades glass. They throw them back. WINCE. WEASEL  Almost forgot... Weasel slides Wade a distinctive black BUSINESS CARD across  the bartop. WEASEL  Guy came in asking for you. Real Grim  Reaper type. Wades gaze follows Weasels gesture across the barroom, where an ominous MAN in a  SUIT sits ALONE at a table. WEASEL  I dont know? May further the plot? Deadpool Final Shooting Script 111615 42. 23A "
